,,,,2011,,,
Old ward code,New code,Ward name,Borough name,All aged 16-74 in work,Travel by bicycle,% travel by bicycle,Percentage point change
00AJGF,E05000173,Ealing Broadway,Ealing,"7,943",235,3,1
00AJGG,E05000174,Ealing Common,Ealing,"7,859",327,4.2,2.1
00AJGH,E05000175,East Acton,Ealing,"9,436",462,4.9,0.4
00AJGJ,E05000176,Elthorne,Ealing,"7,626",303,4,1.2
00AJGK,E05000177,Greenford Broadway,Ealing,"7,844",132,1.7,-0.2
00AJGL,E05000178,Greenford Green,Ealing,"7,169",109,1.5,0.2
00AJGM,E05000179,Hanger Hill,Ealing,"7,890",179,2.3,0.7
00AJGN,E05000180,Hobbayne,Ealing,"6,802",220,3.2,0.6
00AJGP,E05000181,Lady Margaret,Ealing,"6,491",67,1,-0.2
00AJGQ,E05000182,Northfield,Ealing,"7,618",354,4.6,1.5
00AJGR,E05000183,North Greenford,Ealing,"7,427",88,1.2,0
00AJGS,E05000184,Northolt Mandeville,Ealing,"6,875",68,1,-0.4
00AJGT,E05000185,Northolt West End,Ealing,"6,188",71,1.1,-0.4
00AJGU,E05000186,Norwood Green,Ealing,"5,647",94,1.7,0
00AJGW,E05000187,Perivale,Ealing,"7,713",195,2.5,1
00AJGX,E05000188,South Acton,Ealing,"7,089",305,4.3,1.1
00AJGY,E05000189,Southall Broadway,Ealing,"5,513",57,1,-0.6
00AJGZ,E05000190,Southall Green,Ealing,"6,129",77,1.3,-0.1
00AJHA,E05000191,Southfield,Ealing,"7,789",486,6.2,3.1
00AJHB,E05000192,Walpole,Ealing,"7,524",386,5.1,2.2
00AKGL,E05000193,Bowes,Enfield,"7,429",154,2.1,1.2
00AKGM,E05000194,Bush Hill Park,Enfield,"6,829",109,1.6,0.3
00AKGN,E05000195,Chase,Enfield,"6,377",118,1.9,0.6
00AKGP,E05000196,Cockfosters,Enfield,"6,195",42,0.7,0
00AKGQ,E05000197,Edmonton Green,Enfield,"6,247",75,1.2,0
00AKGR,E05000198,Enfield Highway,Enfield,"6,257",105,1.7,0
00AKGS,E05000199,Enfield Lock,Enfield,"6,705",111,1.7,-0.4
00AKGT,E05000200,Grange,Enfield,"6,308",76,1.2,0.6
00AKGU,E05000201,Haselbury,Enfield,"6,415",68,1.1,-0.1
00AKGW,E05000202,Highlands,Enfield,"6,384",79,1.2,0.5
00AKGX,E05000203,Jubilee,Enfield,"5,875",61,1,-0.3
