Area,mnemonic,Gender,Health Status,Age 0 to 15,Age 16 to 24,Age 25 to 34,Age 35 to 49,Age 50 to 64,Age 65 to 74,Age 75 to 84,Age 85 and over
msoa2011:Tower Hamlets 002,E02000865,Female,Day-to-day activities limited a lot,8,5,16,51,99,43,60,26
msoa2011:Tower Hamlets 003,E02000866,Female,Day-to-day activities limited a lot,15,12,12,63,94,51,57,39
msoa2011:Tower Hamlets 004,E02000867,Female,Day-to-day activities limited a lot,9,10,30,54,76,39,43,22
msoa2011:Tower Hamlets 005,E02000868,Female,Day-to-day activities limited a lot,8,3,20,37,69,44,39,14
msoa2011:Tower Hamlets 006,E02000869,Female,Day-to-day activities limited a lot,9,9,15,48,69,37,49,24
msoa2011:Tower Hamlets 007,E02000870,Female,Day-to-day activities limited a lot,8,10,10,44,72,36,43,28
msoa2011:Tower Hamlets 008,E02000871,Female,Day-to-day activities limited a lot,14,9,24,54,86,47,43,25
msoa2011:Tower Hamlets 009,E02000872,Female,Day-to-day activities limited a lot,12,9,20,35,84,24,50,22
msoa2011:Tower Hamlets 010,E02000873,Female,Day-to-day activities limited a lot,15,8,17,41,70,43,43,23
msoa2011:Tower Hamlets 011,E02000874,Female,Day-to-day activities limited a lot,12,13,25,67,73,47,36,12
msoa2011:Tower Hamlets 012,E02000875,Female,Day-to-day activities limited a lot,6,15,27,62,112,49,38,23
msoa2011:Tower Hamlets 013,E02000876,Female,Day-to-day activities limited a lot,13,6,29,55,81,34,23,12
msoa2011:Tower Hamlets 014,E02000877,Female,Day-to-day activities limited a lot,13,12,29,71,102,62,57,22
msoa2011:Tower Hamlets 015,E02000878,Female,Day-to-day activities limited a lot,8,7,32,44,111,61,40,6
msoa2011:Tower Hamlets 016,E02000879,Female,Day-to-day activities limited a lot,19,16,16,62,100,51,70,29
msoa2011:Tower Hamlets 017,E02000880,Female,Day-to-day activities limited a lot,4,10,17,33,51,49,33,28
msoa2011:Tower Hamlets 018,E02000881,Female,Day-to-day activities limited a lot,14,14,24,72,81,30,24,24
msoa2011:Tower Hamlets 019,E02000882,Female,Day-to-day activities limited a lot,19,15,18,80,116,56,45,21
msoa2011:Tower Hamlets 020,E02000883,Female,Day-to-day activities limited a lot,13,17,19,70,113,44,66,41
msoa2011:Tower Hamlets 021,E02000884,Female,Day-to-day activities limited a lot,9,1,16,43,71,58,34,8
msoa2011:Tower Hamlets 022,E02000885,Female,Day-to-day activities limited a lot,14,17,24,71,86,73,58,26
msoa2011:Tower Hamlets 023,E02000886,Female,Day-to-day activities limited a lot,7,11,16,44,61,30,41,16
msoa2011:Tower Hamlets 024,E02000887,Female,Day-to-day activities limited a lot,18,17,23,65,91,49,55,31
msoa2011:Tower Hamlets 025,E02000888,Female,Day-to-day activities limited a lot,10,7,21,58,51,27,32,7
msoa2011:Tower Hamlets 026,E02000889,Female,Day-to-day activities limited a lot,8,0,16,23,63,31,19,11
msoa2011:Tower Hamlets 027,E02000890,Female,Day-to-day activities limited a lot,4,5,6,20,31,21,27,11
msoa2011:Tower Hamlets 028,E02000891,Female,Day-to-day activities limited a lot,11,9,27,54,79,39,26,14
msoa2011:Tower Hamlets 030,E02000893,Female,Day-to-day activities limited a lot,4,4,19,67,69,49,38,17
msoa2011:Tower Hamlets 031,E02000894,Female,Day-to-day activities limited a lot,6,4,10,39,65,22,22,11
msoa2011:Tower Hamlets 032,E02006853,Female,Day-to-day activities limited a lot,7,8,16,30,52,30,30,8
msoa2011:Tower Hamlets 033,E02006854,Female,Day-to-day activities limited a lot,10,6,8,15,25,14,10,3
ualad09:Tower Hamlets,E09000030,Female,Day-to-day activities limited a little,419,539,1256,2252,2291,1132,840,274
msoa2011:Tower Hamlets 001,E02000864,Female,Day-to-day activities limited a little,15,21,53,92,101,51,61,14
msoa2011:Tower Hamlets 002,E02000865,Female,Day-to-day activities limited a little,18,10,36,73,92,34,25,15
msoa2011:Tower Hamlets 003,E02000866,Female,Day-to-day activities limited a little,13,30,37,64,83,58,38,12
msoa2011:Tower Hamlets 004,E02000867,Female,Day-to-day activities limited a little,20,31,53,82,66,46,36,14
msoa2011:Tower Hamlets 005,E02000868,Female,Day-to-day activities limited a little,8,14,33,50,54,37,17,8
msoa2011:Tower Hamlets 006,E02000869,Female,Day-to-day activities limited a little,7,6,27,45,60,26,34,9
msoa2011:Tower Hamlets 007,E02000870,Female,Day-to-day activities limited a little,10,16,37,75,68,22,37,10
msoa2011:Tower Hamlets 008,E02000871,Female,Day-to-day activities limited a little,18,20,58,100,86,40,28,10
msoa2011:Tower Hamlets 009,E02000872,Female,Day-to-day activities limited a little,8,12,50,66,63,35,29,14
msoa2011:Tower Hamlets 010,E02000873,Female,Day-to-day activities limited a little,10,20,49,64,60,31,42,11
msoa2011:Tower Hamlets 011,E02000874,Female,Day-to-day activities limited a little,8,16,37,83,72,41,15,5
msoa2011:Tower Hamlets 012,E02000875,Female,Day-to-day activities limited a little,26,18,59,118,80,38,16,8
msoa2011:Tower Hamlets 013,E02000876,Female,Day-to-day activities limited a little,13,21,34,62,72,28,18,7
msoa2011:Tower Hamlets 014,E02000877,Female,Day-to-day activities limited a little,20,15,55,91,95,46,18,9
msoa2011:Tower Hamlets 015,E02000878,Female,Day-to-day activities limited a little,19,23,36,65,114,49,26,6
