Area,Ward,mnemonic,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,Not in employment
msoa2011:Newham 032,Custom House,E02000745,97,1402,333,506,16,30,1000,82,83,209,21,2285
msoa2011:Newham 033,Beckton,E02000746,118,1292,344,297,8,32,758,45,47,180,32,2512
msoa2011:Newham 034,Canning Town South,E02000747,143,2956,562,428,12,31,803,53,100,251,47,3015
msoa2011:Newham 035,Beckton,E02000748,86,1213,214,271,15,34,757,62,54,157,15,1777
msoa2011:Newham 036,Custom House,E02000749,67,1189,353,470,17,29,771,67,53,238,20,2536
msoa2011:Newham 037,Royal Docks,E02000750,170,3173,518,344,18,58,1062,99,107,203,32,2474
msoa2011:Tower Hamlets 001,Bow East,E02000864,124,1177,218,681,17,34,508,43,376,395,19,2551
msoa2011:Tower Hamlets 002,St Peter's,E02000865,146,1022,216,550,17,23,366,22,310,434,27,2170
msoa2011:Tower Hamlets 003,Chatham,E02000866,224,1947,204,755,30,42,623,52,639,438,28,2609
msoa2011:Tower Hamlets 004,Bow West,E02000867,168,3004,299,520,24,48,626,38,404,360,23,2382
