AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
2000,73961,Counted,Dependent on a neighbouring counted link,London,Tower Hamlets,A101,PA,535530,180600,LA Boundary,A13,1.1,0.68,33,773,29529,151,4813,203,0,0,0,0,0,203,35469
2000,74527,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A12,TA,537300,183460,B142,B142,0.3,0.19,21,1166,49298,647,8962,2661,316,645,110,123,126,3981,64054
2000,74528,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A12,TA,537000,184000,LA Boundary,B142,1,0.62,0,1672,65652,269,12289,2952,288,592,270,526,236,4864,84746
2000,74545,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A1263,PA,538910,181040,A13,A1261,0.2,0.12,20,651,25457,332,5239,934,154,383,62,218,131,1882,33561
2000,74905,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A11,PA,533850,181240,St Botolph St/Aldgate High St,A1202/A13 mid-junction,0.2,0.12,470,1411,19219,778,3031,608,45,52,41,49,15,810,25249
2000,75425,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A13,TA,539100,181400,Aspen Way tunnel,LA boundary,0.2,0.12,168,2840,60846,722,13359,2106,268,951,169,438,266,4198,81965
2000,75426,Estimated,Estimated from nearby links,London,Tower Hamlets,A1261,TA,538930,181200,Aspen Way,A13,0.5,0.31,56,1035,29422,382,5811,876,183,316,69,158,120,1722,38372
2000,75427,Estimated,Estimated from nearby links,London,Tower Hamlets,A1261,TA,538850,180950,Aspen Way tunnel,A1263,0.2,0.12,56,1035,29422,382,5811,876,183,316,69,158,120,1722,38372
2001,6071,Counted,Manual count,London,Tower Hamlets,A12,PA,538180,181800,A13,A11,2.1,1.3,31,1095,49087,346,11490,2642,342,739,245,515,510,4993,67011
2001,6201,Estimated,Estimated using previous year's AADF on this link,London,Tower Hamlets,A11,PA,537000,182730,A1205,A12,1.5,0.93,1162,1648,37620,522,7336,1334,152,99,133,56,89,1863,48989
